date,MSFT,AAPL,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2021-04-30,252.18,131.46,1.9183021451392057,1.9212962802261662,1.9028026190299472,0.05408866395058313,0.34191381050039044,0,1.0,0.0,0.0
2021-05-03,251.86,132.54,1.9002565263316737,1.913060768390363,1.9051155292554256,0.05081094868442361,0.15636864377958676,0,1.0,0.0,0.0
2021-05-04,247.79,127.85,1.938130621822448,1.9108215753949298,1.9079012784803986,0.047826832885134944,0.061059801336727754,0,1.0,0.0,0.0
2021-05-05,246.47,128.1,1.9240437158469945,1.9144954181301324,1.9104517161324586,0.04435795542846802,0.09116069391869723,0,1.0,0.0,0.0
2021-05-06,249.73,129.74,1.9248496993987974,1.9211165417078238,1.9126609663855316,0.04158785572969728,0.20331837681773354,0,1.0,0.0,0.0
2021-05-07,252.46,130.21,1.938867982489824,1.9252297091779476,1.915084007987484,0.03865869335169597,0.26244294131111506,0,1.0,0.0,0.0
2021-05-10,247.18,126.85,1.948600709499409,1.9348985458114947,1.917405773925797,0.03630934575390217,0.4817705062564421,0,1.0,0.0,0.0
2021-05-11,246.23,125.91,1.9556032086410928,1.9383930631752235,1.9198361507145667,0.0337752314008538,0.5494236957378101,0,1.0,0.0,0.0
2021-05-12,239.0,122.77,1.9467296570823491,1.9429302514222944,1.9217863625706617,0.03180416748967571,0.6648150390509796,0,1.0,0.0,0.0
2021-05-13,243.03,124.97,1.9447067296151077,1.9469016574655567,1.9230914461973356,0.031091578298620564,0.7658090251815043,0,1.0,0.0,0.0
2021-05-14,248.15,127.45,1.947038054138878,1.948535671795367,1.9242170733659365,0.03070685035125871,0.7919600399014439,0,1.0,0.0,0.0
2021-05-17,245.18,126.27,1.941712204007286,1.9471579706969429,1.925654429174877,0.02942609428553526,0.7307643791733591,0,1.0,0.0,0.0
2021-05-18,243.08,124.85,1.9469763716459754,1.9454326032979192,1.9270841940991352,0.028303493466240868,0.648273656418744,0,1.0,0.0,0.0
2021-05-19,243.12,124.69,1.9497954928221992,1.9460457704458893,1.9286906431598114,0.026743299025041373,0.6489523700807163,0,1.0,0.0,0.0
2021-05-20,246.48,127.31,1.9360615819652816,1.944316740915924,1.9297723236942281,0.025667851908938475,0.5666394396108807,0,1.0,0.0,0.0
2021-05-21,245.17,125.43,1.9546360519811845,1.9458363404843855,1.930805661976897,0.025394010920320065,0.591898560438166,0,1.0,0.0,0.0
2021-05-24,250.78,127.1,1.9730920535011802,1.9521123103831641,1.9317508956906184,0.02589838879992413,0.7862039159982555,0,1.0,0.0,0.0
2021-05-25,251.72,126.9,1.9836091410559495,1.959438864265159,1.9339087865187399,0.02468741328390001,1.0341333639465853,-2,1.0,0.0,0.0
2021-05-26,251.49,126.85,1.9825778478517937,1.965995335271078,1.9357989906325528,0.02397783555340768,1.2593440542732275,-2,1.0,0.0,0.0
2021-05-27,249.31,125.28,1.9900223499361431,1.9767874888652504,1.937893879489564,0.023102630818019068,1.68351430112241,1,0.99988,-0.0012033211664193172,0.0023946360153256703
2021-05-28,249.68,124.61,2.0036915175347083,1.986598581975955,1.9398325378876111,0.02366486631104091,1.9761803626384788,1,0.9978303650381566,-0.0012033211664193172,0.0023946360153256703
2021-06-01,247.4,124.28,1.9906662375281623,1.9901134187813514,1.9412198291851277,0.024167534428857322,2.023110373139353,2,0.9996646460084238,0.0,0.0
2021-06-02,247.3,125.06,1.9774508236046697,1.9888817552910953,1.9416074448942262,0.024562427445931557,1.9246595435623162,1,0.9995446460084237,-0.001213101496158512,0.0023988485526947063
2021-06-03,245.71,123.54,1.9889104743402946,1.9901482805887956,1.9425787843026365,0.02526333256837885,1.8829462089930271,1,0.9978272275872198,-0.001213101496158512,0.0023988485526947063
2021-06-04,250.79,125.89,1.9921359917388195,1.9905710089493307,1.9434951142866372,0.02604821313562119,1.8072600380529256,1,0.9973019660855671,-0.001213101496158512,0.0023988485526947063
