date,WMT,TGT,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2018-08-07,89.77,82.24,1.0915612840466926,1.101422685811539,1.1136431328225882,0.02497299444072059,-0.48934648346065807,0,0.9454130783791889,0.0,0.0
2018-08-08,90.05,82.39,1.092972448112635,1.0964832932301394,1.1125657874790607,0.024432421291122743,-0.6582439807046335,0,0.9454130783791889,0.0,0.0
2018-08-09,89.01,82.62,1.0773420479302833,1.0921399148023276,1.1112458086573913,0.02415417318663028,-0.7909976345470225,0,0.9454130783791889,0.0,0.0
2018-08-10,90.18,82.71,1.0903155603917303,1.0901907494098328,1.1103362512131694,0.02389191540004905,-0.8431932503534296,0,0.9454130783791889,0.0,0.0
2018-08-13,89.64,82.06,1.0923714355349743,1.088912555203263,1.1099723947703843,0.023998034668385855,-0.8775651780712189,0,0.9454130783791889,0.0,0.0
2018-08-14,90.85,82.68,1.0988147073052732,1.0903632398549792,1.1099293759118036,0.024015976338159564,-0.8147133300483537,0,0.9454130783791889,0.0,0.0
2018-08-15,90.22,80.69,1.1181063328789194,1.0953900168082362,1.1102413384911372,0.023998296202624288,-0.6188490031753543,0,0.9454130783791889,0.0,0.0
2018-08-16,98.64,82.07,1.2019008163762643,1.1203017704974323,1.1118617295100668,0.026741745747056588,0.3156129396785729,0,0.9454130783791889,0.0,0.0
2018-08-17,97.85,83.04,1.178347784200385,1.1379082152591633,1.1120614887254527,0.027196657796026924,0.9503640751580303,0,0.9454130783791889,0.0,0.0
2018-08-20,96.0,83.32,1.1521843494959194,1.1498707980513525,1.11179975527776,0.02672170706009313,1.424723453781464,-2,0.9454130783791889,0.0,0.0
2018-08-21,96.08,83.27,1.1538369160562028,1.160875239801538,1.1117306467238026,0.026605349482889392,1.8471696118610146,1,0.9452930783791889,-0.0031223980016652788,0.0036027380809415155
2018-08-22,95.67,85.94,1.113218524552013,1.159897678136157,1.1111304068842813,0.026147239227414246,1.865102117578259,1,0.9561925722359855,-0.0031223980016652788,0.0036027380809415155
2018-08-23,95.18,86.71,1.0976819282666361,1.1390539005142313,1.1103424869327705,0.02582088717547876,1.1119452785002315,-2,0.9604966555791264,-0.0031223980016652788,0.0036027380809415155
2018-08-24,94.95,87.31,1.0875042950406597,1.120885202682286,1.1095943706080607,0.02582149543049966,0.43726484024193624,0,0.9632542446176533,0.0,0.0
2018-08-27,94.54,86.6,1.091685912240185,1.1087855152311392,1.1087895936875216,0.02561026292656275,-0.0001592508594733969,0,0.9632542446176533,0.0,0.0
2018-08-28,96.07,86.7,1.108073817762399,1.0996328955723786,1.1086109069348822,0.025576649986237668,-0.3510237410815897,0,0.9632542446176533,0.0,0.0
2018-08-29,95.64,87.63,1.0914070523793222,1.0952706011378404,1.108834994750546,0.025361564194855794,-0.5348405764127515,0,0.9632542446176533,0.0,0.0
2018-08-30,96.1,87.31,1.1006757530637956,1.0958693660972725,1.1090880202455546,0.025199968949422936,-0.5245504141220325,0,0.9632542446176533,0.0,0.0
2018-08-31,95.86,87.5,1.0955428571428572,1.097477078517712,1.109276444592958,0.025052844277412358,-0.4709791009990956,0,0.9632542446176533,0.0,0.0
2018-09-04,95.36,88.95,1.0720629567172568,1.0935524874131262,1.109123140287028,0.025254513219445357,-0.6165493168925106,0,0.9632542446176533,0.0,0.0
2018-09-05,96.62,88.6,1.0905191873589166,1.0900415613324295,1.109527147149452,0.024746275195383662,-0.7874149003506442,0,0.9632542446176533,0.0,0.0
