date,MSFT,AAPL,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2018-02-06,91.33,40.76,2.240677134445535,2.258780427785162,2.0174322913480682,0.1014438328672889,2.379130693462963,2,0.8382054386472136,0.0,0.0
2018-02-07,89.61,39.89,2.2464276761093007,2.2541242525435727,2.0229987476131455,0.104696224358307,2.207582043641184,2,0.8382054386472136,0.0,0.0
2018-02-08,85.01,38.79,2.191544212425883,2.243040961536497,2.0275154775408755,0.1060382468168887,2.032525908956226,2,0.8382054386472136,0.0,0.0
2018-02-09,88.18,39.1,2.255242966751918,2.236676148457775,2.0329383780636165,0.10923175243296654,1.8651881513957083,1,0.8380854386472136,-0.0034021320027217052,0.007672634271099744
2018-02-12,89.13,40.68,2.1910029498525074,2.224978987917029,2.0367559031070654,0.11070144788723131,1.7002766305432764,1,0.8469761753929657,-0.0034021320027217052,0.007672634271099744
2018-02-13,89.83,41.09,2.1861766853248965,2.214078898092901,2.0404739413093695,0.11192498599628453,1.5510831226665922,1,0.8477404630422114,-0.0034021320027217052,0.007672634271099744
2018-02-14,90.81,41.84,2.170411089866157,2.1988755808442724,2.0442335588972123,0.11244535654325792,1.3752637432170804,-2,0.8501608493828688,-0.0034021320027217052,0.007672634271099744
2018-02-15,92.66,43.25,2.14242774566474,2.1890522874920437,2.0476573468225285,0.1122522400098559,1.259617987641944,-2,0.8546853195000843,-0.0034021320027217052,0.007672634271099744
2018-02-16,92.0,43.11,2.134075620505683,2.1648188182427965,2.050860567948604,0.11192442130684166,1.0181714496586523,-2,0.8558565578239267,-0.0034021320027217052,0.007672634271099744
2018-02-20,92.72,42.96,2.15828677839851,2.158275583951997,2.0545997820230135,0.1116992890015294,0.9281688617334358,0,0.8521271152317863,0.0,0.0
2018-02-21,91.49,42.77,2.13911620294599,2.1488634874762154,2.0585835279142106,0.11034960816764781,0.8181266889941974,0,0.8521271152317863,0.0,0.0
2018-02-22,91.73,43.13,2.126825875260839,2.1401464445551523,2.0623052790893017,0.10878579553430283,0.7155453070277489,0,0.8521271152317863,0.0,0.0
2018-02-23,94.06,43.88,2.143573381950775,2.1403755718123594,2.0659121700139713,0.10781231870210699,0.6906761926170577,0,0.8521271152317863,0.0,0.0
2018-02-26,95.42,44.74,2.1327670987930265,2.140113867469828,2.068764351034222,0.10726920696363965,0.6651444385133828,0,0.8521271152317863,0.0,0.0
2018-02-27,94.2,44.6,2.1121076233183858,2.130878036453803,2.071183515537408,0.10656876489751857,0.560150255788366,0,0.8521271152317863,0.0,0.0
2018-02-28,93.77,44.53,2.105771390074107,2.1242090738794266,2.0736252981714802,0.10563527748583339,0.4788530584844641,0,0.8521271152317863,0.0,0.0
2018-03-01,92.85,43.75,2.1222857142857143,2.123301041684402,2.076154506599472,0.10493952597262282,0.44927337576529236,0,0.8521271152317863,0.0,0.0
2018-03-02,93.05,44.05,2.112372304199773,2.1170608261342014,2.079527182026752,0.10273808801267606,0.36533329394662695,0,0.8521271152317863,0.0,0.0
2018-03-05,93.64,44.21,2.118072834200407,2.1141219732156773,2.0827644173086974,0.10079092781785952,0.3111148650565701,0,0.8521271152317863,0.0,0.0
2018-03-06,93.32,44.17,2.112746207833371,2.1142496901186747,2.0853220217587802,0.09954390375244711,0.2906021089130064,0,0.8521271152317863,0.0,0.0
2018-03-07,93.86,43.76,2.1448811700182815,2.1220716461075098,2.0885911059098445,0.09819391976533323,0.34096347592272536,0,0.8521271152317863,0.0,0.0
2018-03-08,94.43,44.24,2.134493670886076,2.124513237427582,2.09103735926574,0.0974638928558813,0.3434695370863386,0,0.8521271152317863,0.0,0.0
2018-03-09,96.54,45.0,2.1453333333333333,2.131105443254294,2.0938881198247703,0.09648775929157688,0.3857206727856166,0,0.8521271152317863,0.0,0.0
2018-03-12,96.77,45.43,2.1300902487343163,2.133508926161076,2.096164994728942,0.09568669540758545,0.3902729765414555,0,0.8521271152317863,0.0,0.0
2018-03-13,94.41,44.99,2.0984663258501888,2.130652949764439,2.0981118040526656,0.09449837805103652,0.3443566586317355,0,0.8521271152317863,0.0,0.0
2018-03-14,93.85,44.61,2.1037883882537547,2.1224343934115337,2.1003951017760776,0.09291337337188121,0.23720257736467026,0,0.8521271152317863,0.0,0.0
2018-03-15,94.18,44.66,2.1088222122704883,2.117300101688416,2.102258625195884,0.09192066796593855,0.16363541329035858,0,0.8521271152317863,0.0,0.0
2018-03-16,94.6,44.51,2.1253650864974163,2.113306452321233,2.105043274922099,0.08999582925343474,0.09181733717752914,0,0.8521271152317863,0.0,0.0
2018-03-19,92.89,43.83,2.1193246634725074,2.111153335268871,2.107585792609977,0.08815945680167327,0.040466931039738765,0,0.8521271152317863,0.0,0.0
2018-03-20,93.13,43.81,2.125770372061173,2.116614144511068,2.1103166676264746,0.08608405179699624,0.07315497764259894,0,0.8521271152317863,0.0,0.0
2018-03-21,92.48,42.82,2.159738439981317,2.1278041548565807,2.113740879721401,0.08382899400600725,0.1677614684744028,0,0.8521271152317863,0.0,0.0
2018-03-22,89.79,42.21,2.1272210376687988,2.1314839199362425,2.1166193255873096,0.08119261397802549,0.1830781597074335,0,0.8521271152317863,0.0,0.0
2018-03-23,87.18,41.24,2.1139670223084384,2.1292043070984468,2.11847187164392,0.07980821494700924,0.13447782865025493,0,0.8521271152317863,0.0,0.0
2018-03-26,93.78,43.19,2.1713359573975457,2.1396065658834544,2.1211672520983966,0.07879389555415395,0.23401957290441017,0,0.8521271152317863,0.0,0.0
2018-03-27,89.47,42.09,2.1256830601092895,2.139589103493078,2.123191827143551,0.07728390568842425,0.21216935406492113,0,0.8521271152317863,0.0,0.0
2018-03-28,89.39,41.62,2.14776549735704,2.1371945149682228,2.1252921809579273,0.07618475442178368,0.15622986646908765,0,0.8521271152317863,0.0,0.0
2018-03-29,91.27,41.95,2.1756853396901072,2.146887375372484,2.1282937936738366,0.074517516577647,0.24951961032240122,0,0.8521271152317863,0.0,0.0
2018-04-02,88.52,41.67,2.124310055195584,2.1489559819499133,2.13027660485851,0.07275235904864509,0.25675287146240555,0,0.8521271152317863,0.0,0.0
