date,JNJ,ABT,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2019-07-03,142.14,85.64,1.6597384399813169,1.65895088541378,1.757854516359239,0.06268769667738874,-1.5777199703866802,-1,0.9994430852809122,0.0021095562899936713,-0.0035319048740287263
2019-07-05,140.57,85.42,1.6456333411379067,1.6518605623640283,1.7565604980861402,0.06419678867391962,-1.6309217000545535,-1,0.9969081009779085,0.0021095562899936713,-0.0035319048740287263
2019-07-08,140.97,85.09,1.6567164179104477,1.6519791134847623,1.7555581966894893,0.06528742586636054,-1.5865089154647816,-1,0.9989174521023354,0.0021095562899936713,-0.0035319048740287263
2019-07-09,141.41,85.27,1.6583792658613816,1.6537697731430137,1.7544945012287785,0.06635134848611483,-1.5180509572739613,-1,0.9992099139926075,0.0021095562899936713,-0.0035319048740287263
2019-07-10,141.21,85.38,1.6539002108222067,1.6548735351426518,1.7530076737806397,0.0675985842686422,-1.451718844406489,-2,0.9983994931984657,0.0021095562899936713,-0.0035319048740287263
2019-07-11,140.11,85.77,1.6335548560102602,1.6496368183484407,1.7508744482625311,0.06932208540084839,-1.4603950433500876,-2,0.9947015383786014,0.0021095562899936713,-0.0035319048740287263
2019-07-12,134.3,83.92,1.6003336510962822,1.6405768803401155,1.747429716716475,0.07158331093229997,-1.4927059811108163,-2,0.9889790403506913,0.0021095562899936713,-0.0035319048740287263
2019-07-15,134.71,83.81,1.607326094738098,1.630698815705646,1.742540841347035,0.07095497697976576,-1.5762393337578422,-1,0.9902324679657318,0.0021095562899936713,-0.0035319048740287263
2019-07-16,132.5,83.16,1.5933140933140935,1.617685781196188,1.7380895827291096,0.07180876020639194,-1.6767285939328065,-1,0.9878660867329645,0.0021095562899936713,-0.0035319048740287263
2019-07-17,131.86,85.76,1.5375466417910448,1.5944150673899558,1.7328850464878556,0.07482660206108444,-1.8505447966868833,-1,0.9773330180348939,0.0021095562899936713,-0.0035319048740287263
2019-07-18,132.07,87.76,1.5048997265268913,1.568684041493282,1.727327199179204,0.07912004756497136,-2.0050943164012667,2,0.9705945012935422,0.0,0.0
2019-07-19,130.31,87.49,1.4894273631272146,1.5465027838994685,1.7219229755353418,0.08404256250701167,-2.087277998231408,2,0.9705945012935422,0.0,0.0
2019-07-22,128.64,88.07,1.4606562961280798,1.5171688241774648,1.7164695259750131,0.09008976080321099,-2.2122458758980836,2,0.9705945012935422,0.0,0.0
2019-07-23,128.84,88.74,1.451881902186162,1.4888823859518783,1.710883528485991,0.09584660278491693,-2.316212949480232,2,0.9705945012935422,0.0,0.0
2019-07-24,129.78,88.59,1.464950897392482,1.474363237072166,1.705522110049576,0.10042515028315491,-2.301802609462305,2,0.9705945012935422,0.0,0.0
2019-07-25,131.12,88.0,1.49,1.4713832917667875,1.7007760902741447,0.10377058184582683,-2.2105763929142146,2,0.9705945012935422,0.0,0.0
2019-07-26,130.73,87.75,1.4898005698005696,1.4714579331014588,1.6955599563452006,0.10638970572892889,-2.106425821072699,2,0.9705945012935422,0.0,0.0
2019-07-29,133.02,88.55,1.5022021456804067,1.479767103011924,1.6907075160127778,0.1084731678006263,-1.9446321821131138,-1,0.9704745012935422,0.0022552999548940008,-0.003387916431394692
2019-07-30,132.08,88.31,1.4956403578303703,1.4885187941407656,1.6855569123269372,0.11029158469498282,-1.7865199664243727,-1,0.9691676192794766,0.0022552999548940008,-0.003387916431394692
2019-07-31,130.22,87.1,1.4950631458094146,1.4945412438241523,1.6805243763754911,0.11199539206508397,-1.6606320056744681,-1,0.9690721402453614,0.0022552999548940008,-0.003387916431394692
2019-08-01,130.29,86.08,1.5135920074349443,1.499259645311141,1.6754189200611456,0.11251415042786114,-1.5656632883963306,-1,0.9726856860022266,0.0022552999548940008,-0.003387916431394692
