date,BA,AIR,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2018-10-08,385.77,103.62,3.722929936305732,3.6928682529025196,3.338710778908023,0.14368750525347462,2.4647757184574868,2,1.0531416551293897,0.0,0.0
2018-10-09,385.44,102.5,3.760390243902439,3.713738883060752,3.345885539316184,0.15364317246878653,2.394205598815653,2,1.0531416551293897,0.0,0.0
2018-10-10,367.47,98.99,3.712193150823316,3.723317434764739,3.3525074221909192,0.16068477490028035,2.307686044330843,2,1.0531416551293897,0.0,0.0
2018-10-11,358.11,97.33,3.6793383335045724,3.7181818713687504,3.3578238197891297,0.16613335665971762,2.1690890909868483,2,1.0531416551293897,0.0,0.0
2018-10-12,360.11,100.26,3.591761420307201,3.693322616968652,3.362380508384338,0.16876123194100306,1.9610078972403289,1,1.0530216551293898,-0.0008330787814834356,0.002992220227408737
2018-10-15,358.88,97.81,3.6691544831816785,3.682567526343841,3.3676045657061513,0.17334051891328336,1.8170186786809814,1,1.046715402473463,-0.0008330787814834356,0.002992220227408737
2018-10-16,368.25,101.72,3.620232009437672,3.6545358794508878,3.372090567482367,0.1763619659023702,1.601509205929786,1,1.0506090353801316,-0.0008330787814834356,0.002992220227408737
2018-10-17,365.5,100.86,3.623835018837993,3.6368642530538238,3.3761454261501105,0.17933144874415596,1.4538377330329215,-2,1.0503266926336394,-0.0008330787814834356,0.002992220227408737
2018-10-18,359.35,99.31,3.6184674252341154,3.624690071399732,3.3799041221950836,0.18203260918298425,1.3447368045940757,-2,1.050812185787279,-0.0008330787814834356,0.002992220227408737
2018-10-19,356.26,97.95,3.6371618172537006,3.633770150789032,3.3858923357825295,0.18451196329542816,1.343424082532889,-2,1.049316979712787,-0.0008330787814834356,0.002992220227408737
2018-10-22,355.98,96.31,3.6961893884331847,3.6391771318393333,3.392451230962154,0.18845536200410484,1.3092007478768637,-2,1.044643000598652,-0.0008330787814834356,0.002992220227408737
2018-10-23,350.05,94.14,3.7183981304440197,3.6588103560406027,3.3997831435209807,0.19246119034875775,1.345867247574643,-2,1.0430900398793717,-0.0008330787814834356,0.002992220227408737
2018-10-24,354.65,95.31,3.721015633196936,3.678246478912391,3.4057780581623134,0.19679602683974545,1.3845219597444096,-2,1.042758775150616,-0.0008330787814834356,0.002992220227408737
2018-10-25,363.77,97.94,3.7142127833367367,3.697395550532916,3.412528383788282,0.20034128654439384,1.421909440925497,-2,1.043030635861572,-0.0008330787814834356,0.002992220227408737
2018-10-26,359.27,96.15,3.7365574622984914,3.717274679541874,3.420063232051734,0.20391298463785243,1.4575405681888514,-2,1.041423416171186,-0.0008330787814834356,0.002992220227408737
2018-10-29,335.59,95.83,3.501930501930502,3.678422902241337,3.4245373768933622,0.2026911467786623,1.2525733332853286,-2,1.060193211243943,-0.0008330787814834356,0.002992220227408737
2018-10-30,349.91,93.9,3.7264110756123534,3.6800254912750034,3.4330719162757473,0.20446342790764865,1.207812944967348,-2,1.0424885380542013,-0.0008330787814834356,0.002992220227408737
2018-10-31,354.86,97.71,3.63176747518166,3.6621758596719487,3.4399683466725057,0.20406358122227508,1.0889131302532846,-2,1.0497651571522857,-0.0008330787814834356,0.002992220227408737
2018-11-01,363.07,96.5,3.7623834196891193,3.671809986942425,3.44895524364261,0.20621605791827188,1.0806856922274102,-2,1.039304993881142,-0.0008330787814834356,0.002992220227408737
2018-11-02,357.75,95.61,3.741763413868842,3.672851177256495,3.4585969413772855,0.2061559672768965,1.0392822420290935,-2,1.04107389699624,-0.0008330787814834356,0.002992220227408737
2018-11-05,361.98,95.38,3.7951352484797654,3.731492126566348,3.4692372783559167,0.20678528228101148,1.26824716593727,-2,1.036861763098261,-0.0008330787814834356,0.002992220227408737
2018-11-06,366.47,95.85,3.823369848721962,3.75088388118827,3.4807923632536717,0.2068820061066391,1.3055341207169908,-2,1.0345275828762825,-0.0008330787814834356,0.002992220227408737
2018-11-07,372.02,96.09,3.8715787282755745,3.7988461318070526,3.4929822556385117,0.20801706364760605,1.4703787795346126,-2,1.0306221284936277,-0.0008330787814834356,0.002992220227408737
2018-11-08,370.77,95.65,3.876319916361735,3.8216334311415756,3.505037375324184,0.20893773949062774,1.5152650573765452,1,1.0303469000704222,-0.0008330787814834356,0.002992220227408737
2018-11-09,369.34,94.68,3.9009294465568223,3.8534666376791717,3.5164424780996346,0.2115875032180561,1.5928358454715048,1,1.028635749107357,-0.0008330787814834356,0.002992220227408737
2018-11-12,357.03,94.39,3.782498145990041,3.8509392171812267,3.5258883718188523,0.2105843316395786,1.5435661467858333,1,1.0380232050414695,-0.0008330787814834356,0.002992220227408737
2018-11-13,349.51,96.42,3.624870358846712,3.8112393192061775,3.5321161270889645,0.2078305734950712,1.3430323913523368,-2,1.0503621645398646,-0.0008330787814834356,0.002992220227408737
2018-11-14,344.72,95.53,3.608499947660421,3.758623563083146,3.5373893146898685,0.20564004333670252,1.0758325314639323,-2,1.0516895359007765,-0.0008330787814834356,0.002992220227408737
2018-11-15,341.57,93.86,3.639143405071383,3.711188260825076,3.543682467602072,0.2028138702810262,0.8259089626902829,0,1.0492036453806897,0.0,0.0
2018-11-16,335.95,92.89,3.616643341586823,3.6543310398310758,3.550206994800662,0.19864773828542331,0.5241642614667227,0,1.0492036453806897,0.0,0.0
2018-11-19,320.94,92.57,3.46699794749919,3.591231000132906,3.553822852065183,0.19503313391239852,0.19180406589028817,0,1.0492036453806897,0.0,0.0
2018-11-20,317.7,91.07,3.4885253102009446,3.5639619904037523,3.5573754343956927,0.1917894418382231,0.03434264130981423,0,1.0492036453806897,0.0,0.0
