date,WMT,DE,ratio,ins_ratio,long_mean,long_std,z_score,action,capital,holding1,holding2
2021-09-03,52.04,68.63,0.7582689785807956,0.7773888594360054,0.8158472154608746,0.042829562590886515,-0.8979395001585305,0,1.0202072182448476,0.0,0.0
2021-09-07,51.86,67.67,0.7663661888576917,0.7701349457308846,0.8142185808126031,0.04282212445006535,-1.0294593191686279,-2,1.0202072182448476,0.0,0.0
2021-09-08,51.83,68.09,0.7611984138640034,0.7638792910609794,0.812089121113066,0.04221458747320163,-1.142018267564282,-2,1.0202072182448476,0.0,0.0
2021-09-09,51.91,67.34,0.7708642708642708,0.7641366184038321,0.8104718729664061,0.041897779302290744,-1.1059119441215988,-2,1.0202072182448476,0.0,0.0
2021-09-10,51.97,67.81,0.7664061347883793,0.7646207973910281,0.8089266926603569,0.04178277182098569,-1.0603866938065576,-2,1.0202072182448476,0.0,0.0
2021-09-13,52.21,69.78,0.7482086557752938,0.7626087328299278,0.8069768885332863,0.041842003156372924,-1.0603736044267476,-2,1.0202072182448476,0.0,0.0
2021-09-14,52.66,70.03,0.7519634442381836,0.7597281839060261,0.8050113563321262,0.04160557011264375,-1.0883920663387008,-2,1.0202072182448476,0.0,0.0
2021-09-15,52.86,70.06,0.7544961461604339,0.7583877303653123,0.8035195702928094,0.041788059479277696,-1.0800176052653891,-2,1.0202072182448476,0.0,0.0
2021-09-16,53.15,69.64,0.7632107983917289,0.7568570358708039,0.8019475900855199,0.04149488804429174,-1.0866532322387812,-2,1.0202072182448476,0.0,0.0
2021-09-17,53.01,72.45,0.7316770186335403,0.7499112126398361,0.7998400058579941,0.04180310198332691,-1.1943801021769156,-2,1.0202072182448476,0.0,0.0
2021-09-20,53.54,73.61,0.7273468278766472,0.7457388470601067,0.7976329576578858,0.042080207375979437,-1.2332189842629353,-2,1.0202072182448476,0.0,0.0
2021-09-21,53.57,73.04,0.7334337349397589,0.7420329052004219,0.7962423012928878,0.042806068055561135,-1.2663951293565094,-2,1.0202072182448476,0.0,0.0
2021-09-22,53.82,72.08,0.7466703662597115,0.7404677492202774,0.7945667139658941,0.042744981078247,-1.2656214456285668,-2,1.0202072182448476,0.0,0.0
2021-09-23,53.65,71.19,0.7536170810507093,0.7385490057520735,0.7924237693518585,0.04148181385202444,-1.298756216205232,-2,1.0202072182448476,0.0,0.0
2021-09-24,54.08,72.64,0.7444933920704846,0.7411122804394623,0.7904432233959452,0.04087154987793253,-1.2069750989090278,-2,1.0202072182448476,0.0,0.0
2021-09-27,53.48,72.1,0.741747572815534,0.7439924294272396,0.7882129159320637,0.03978447258356419,-1.1115011368302627,-2,1.0202072182448476,0.0,0.0
2021-09-28,53.82,71.59,0.7517809749965079,0.7476618774385895,0.7860636997661032,0.038151226509759245,-1.006568486538445,-2,1.0202072182448476,0.0,0.0
2021-09-29,53.35,71.73,0.7437613271992193,0.747080069626491,0.7836418562445012,0.03605605872682916,-1.0140261556320567,-2,1.0202072182448476,0.0,0.0
2021-09-30,53.52,69.78,0.766981943250215,0.7497530420663922,0.7820197060642781,0.03452203667849208,-0.9346686088769696,0,1.0202072182448476,0.0,0.0
2021-10-01,53.36,68.57,0.7781828788099753,0.7564909394142902,0.7806745994280747,0.03301558994047769,-0.7324921365144192,0,1.0202072182448476,0.0,0.0
2021-10-04,53.57,68.62,0.7806761877003788,0.7642766623912592,0.7794842947818927,0.03165650243883984,-0.48039521801293567,0,1.0202072182448476,0.0,0.0
2021-10-05,54.0,71.3,0.7573632538569425,0.7653931181633461,0.7775744246333472,0.029356223016097274,-0.4149480150536266,0,1.0202072182448476,0.0,0.0
2021-10-06,54.56,71.96,0.7581989994441357,0.7682806526123294,0.7760232131901377,0.027814527146583178,-0.2783639116712229,0,1.0202072182448476,0.0,0.0
2021-10-07,54.36,71.9,0.7560500695410292,0.7660942778704923,0.7745723620383712,0.026495412952103378,-0.31998309228865324,0,1.0202072182448476,0.0,0.0
