date,CAT,DE,ratio,ins_ratio,long_mean,long_std,z_score
2022-10-19,184.41,371.32,0.49663363136916944,0.4974646708903584,0.5142220777991103,0.0236257283578573,-0.7092863616701519
2022-10-20,180.54,365.52,0.4939264609323703,0.49649235760797605,0.5129748940871315,0.02265317013987842,-0.7276039678940888
2022-10-21,190.22,383.06,0.49658017020832246,0.4960211933520541,0.5118109906327891,0.021631947982557277,-0.7299295141365446
2022-10-24,191.3,385.89,0.4957371271605899,0.495441654444284,0.5104451897556485,0.019921696206735263,-0.7531253943272134
2022-10-25,194.84,391.63,0.49751040522942575,0.4960775589799756,0.5091339467632742,0.01801975907790296,-0.7245595086401135
2022-10-26,196.96,391.18,0.5035022240400838,0.49745127751415835,0.5083467543056848,0.017183941006057215,-0.6340499416103581
2022-10-27,212.14,394.59,0.5376213284675232,0.5061902510211891,0.5082499247534479,0.01699825942780138,-0.12116968452017557
2022-10-28,219.34,396.85,0.5527025324429885,0.5174147234681222,0.5085222485388048,0.017577307397301983,0.5059065491841136
2022-10-31,216.46,395.82,0.5468647364963872,0.5276402453352816,0.5086365345915742,0.017806292647216292,1.0672469064849577
2022-11-01,218.5,388.71,0.5621157160865426,0.5405613075067051,0.5089951117242396,0.01865719061159833,1.6919050911578386
2022-11-02,214.54,385.95,0.5558751133566524,0.5510358853700188,0.5092382234831633,0.01917302408891862,2.1800244809066505
2022-11-03,219.26,393.63,0.5570205522953027,0.5549157301355747,0.5095008224258532,0.019719219723609675,2.303078334045167
2022-11-04,227.85,395.09,0.576704042116986,0.5597160320703741,0.5101787220962675,0.021283760530308223,2.327469805139237
2022-11-07,228.61,398.77,0.5732878601700229,0.5650006568051014,0.5108225390327532,0.02258150067915718,2.399225744210826
2022-11-08,229.81,404.57,0.5680351978643993,0.5661845531606727,0.5113679692644275,0.023557128292543195,2.326963762964136
2022-11-09,225.54,397.09,0.56798206955602,0.5686059444005461,0.511936558832077,0.02450213596155696,2.312834507872355
2022-11-10,232.45,407.61,0.5702755084517063,0.5712569356318269,0.5124869703769165,0.025433652336998357,2.3107167022731407
2022-11-11,236.49,406.03,0.5824446469472699,0.5724050565978838,0.5132561853750653,0.026825638260284317,2.2049380763621587
2022-11-14,236.5,406.94,0.5811667567700398,0.5739808359178872,0.5141233833095462,0.028155701479603647,2.1259442834944986
2022-11-15,234.59,406.97,0.5764306951372337,0.5756599353724539,0.5150843111560333,0.029278623088045474,2.068936918046319
2022-11-16,232.42,406.4,0.5718996062992125,0.5764434427210925,0.5158482767098749,0.03015482228393755,2.009468516864535
2022-11-17,230.44,412.99,0.5579796120971452,0.5739842634501802,0.5166629612966216,0.03062599784245937,1.8716550052808165
2022-11-18,231.43,414.26,0.5586588133056535,0.5692270967218569,0.5174342876045176,0.031095467407477005,1.665606386893723
2022-11-21,232.17,411.7,0.5639300461501093,0.5657797545978708,0.5184018215154789,0.03162837661671005,1.4979565235529977
2022-11-22,237.26,416.56,0.569569809871327,0.5644075775446895,0.5194967290470346,0.03224800973399275,1.3926703963474132
2022-11-23,236.92,437.52,0.541506673980618,0.5583289910809706,0.520072345604483,0.03232875207756568,1.1833628896252848
2022-11-25,235.7,441.47,0.5338981131220694,0.5535126912859555,0.5205421738416647,0.03232130262130685,1.0200862827402253
2022-11-28,232.3,441.21,0.5265066521611025,0.5470822590570453,0.5209585232225301,0.0322329647806219,0.8104664281524768
2022-11-29,235.12,440.97,0.5331881987436787,0.540933889575759,0.5215245433828808,0.03214294338406529,0.603844705849196
