date,JPM,BAC,ratio,ins_ratio,long_mean,long_std,z_score
2020-12-24,124.52,29.96,4.1562082777036045,4.158286791103335,4.1678947861484925,0.07526165942048178,-0.1276612171341863
2020-12-28,125.34,30.13,4.159973448390309,4.159587375444809,4.170166819416962,0.07285248683695308,-0.14521733480190452
2020-12-29,125.01,30.01,4.165611462845718,4.161842149520341,4.172204168663482,0.0709303794065431,-0.1460871805541927
2020-12-30,125.36,29.98,4.181454302868579,4.1650621439523245,4.17484931145838,0.06816778147723693,-0.14357468138116922
2020-12-31,127.07,30.31,4.19234576047509,4.171118650456661,4.1776857676085495,0.06518199022481555,-0.10075048536011785
2021-01-04,125.87,30.03,4.191475191475192,4.178172033210978,4.180736345558646,0.06129404678160842,-0.04183623830230801
2021-01-05,125.65,30.26,4.1523463317911435,4.176646609891145,4.182733982520088,0.05825858074978576,-0.10448885899037354
2021-01-06,131.55,32.15,4.091757387247279,4.161875794771457,4.184421001014167,0.053901305423591936,-0.4182682787649573
2021-01-07,135.87,32.86,4.134814363968351,4.152547806991411,4.186849630860161,0.04790014058601084,-0.716111131389206
2021-01-08,136.02,32.53,4.181371042114971,4.150352863319387,4.189217838943507,0.043819211245786756,-0.8869391876116071
2021-01-11,138.05,33.07,4.174478379195646,4.146953500863478,4.18807557202042,0.04328309824544569,-0.9500722643224632
2021-01-12,140.22,33.66,4.165775401069519,4.1496393147191535,4.18730502401202,0.0432613397329044,-0.8706551744678942
2021-01-13,140.35,33.46,4.194560669456067,4.17019997116091,4.187419263992504,0.04327146626276284,-0.3979364306037287
2021-01-14,141.17,33.99,4.153280376581347,4.17389317368351,4.186516938621867,0.04341158061048765,-0.29079256642654877
2021-01-15,138.64,33.01,4.199939412299303,4.1776068477203765,4.187218773344944,0.04328012501649249,-0.2220863646051147
2021-01-19,138.04,32.77,4.212389380530973,4.185189047987442,4.188561784156982,0.042778905411814575,-0.07884110491075522
2021-01-20,135.97,32.34,4.20439084724799,4.192912137223136,4.189689783333404,0.04227788457450516,0.07621842772320203
2021-01-21,134.83,31.77,4.243940824677369,4.202788168267396,4.190937525324346,0.04276118157348433,0.27713553524440376
2021-01-22,133.79,31.55,4.2405705229793975,4.220246197547007,4.192855211166449,0.04235534513980736,0.6466949163120864
2021-01-25,132.12,31.16,4.2400513478819,4.228268584663526,4.194109735727584,0.04262357136453984,0.801407480471254
2021-01-26,131.58,30.94,4.252747252747253,4.236340159106782,4.196433253709389,0.041940116160448807,0.9515210984328801
2021-01-27,127.86,29.83,4.286288970834731,4.25271978382413,4.199073612229248,0.042532922336591686,1.2612858145589814
2021-01-28,130.11,30.32,4.29122691292876,4.262177001474408,4.201648913098736,0.043362652366803985,1.3958576118376171
2021-01-29,128.67,29.65,4.339629005059022,4.281988697890333,4.204589296848613,0.046574298738905735,1.6618479104885604
2021-02-01,129.62,29.96,4.326435246995994,4.299265477713152,4.2068909616578,0.04910126828392042,1.8813061104900697
2021-02-02,133.61,31.03,4.3058330647760235,4.309882640118905,4.208096005980645,0.05062957703525465,2.0104184174279025
2021-02-03,135.14,31.58,4.279290690310323,4.308482984014025,4.2087484127858295,0.05129737413257251,1.9442432076628715
2021-02-04,138.25,32.5,4.253846153846154,4.301006832197503,4.209057613389148,0.051515541588183764,1.7848830852521922
2021-02-05,137.98,32.37,4.2625888168056845,4.285598794546836,4.209915841988167,0.05197692700084689,1.4560874781503668
2021-02-08,140.14,33.09,4.235116349350256,4.2673350150176885,4.210291425395632,0.0520778348990182,1.095352557045947
2021-02-09,139.58,32.95,4.2361153262518965,4.253391467312863,4.210922608655645,0.052158784658098194,0.8142225501533804
2021-02-10,139.66,32.98,4.234687689508793,4.2444708671525575,4.210706431830986,0.05203067126455055,0.6489333022419738
2021-02-11,139.27,32.88,4.2357055961070555,4.240842755604737,4.210881772013017,0.05209797381257808,0.5750892289881443
2021-02-12,141.25,33.37,4.2328438717410855,4.234893766591817,4.21054447081808,0.05188520357933126,0.46929170734595865
2021-02-16,144.65,34.27,4.220892909250073,4.232049078571781,4.210650701701225,0.051900002029024714,0.41230011626182184
