date,CVX,XOM,ratio,ins_ratio,long_mean,long_std,z_score
2022-05-25,175.41,96.3,1.8214953271028038,1.8273955831033266,1.93148492607531,0.06877505483122051,-1.5134752451659534
2022-05-26,176.59,96.64,1.8272971854304636,1.8266930715389915,1.930038724316693,0.0700480189823056,-1.4753543965862472
2022-05-27,178.28,97.59,1.8268265191105646,1.8266762721605816,1.9283576658082855,0.07130436769748755,-1.4260191476501474
2022-05-31,174.66,96.0,1.819375,1.8247615181931731,1.92723609839044,0.0724905913066046,-1.413625938900714
2022-06-01,176.32,97.84,1.802125919869174,1.8194239903026008,1.9262721425706895,0.073773523614593,-1.4483265409184443
2022-06-02,176.0,97.67,1.8019862803317293,1.8155221809483861,1.9239269530224858,0.075459790360693,-1.4365898918607087
2022-06-03,177.6,99.09,1.7923100211928549,1.8085247481008646,1.9203265477107647,0.07651046814346492,-1.4612614760147637
2022-06-06,176.83,98.84,1.789053014973695,1.8009700472734906,1.9167912394786017,0.07760440542990746,-1.4924564084151275
2022-06-07,180.2,103.37,1.7432523943116958,1.7857455261358297,1.912304073778521,0.07973207743907196,-1.5872977565322102
2022-06-08,181.13,104.59,1.7318099244669662,1.771682327055388,1.9072317314514071,0.08138332985644334,-1.6655671945977426
2022-06-09,177.52,102.33,1.7347796345157824,1.7582409978921991,1.9019825911978694,0.08218961674532481,-1.748902099775842
2022-06-10,175.4,100.46,1.745968544694406,1.7489727025925093,1.89691464201102,0.08227996495658946,-1.7980311427765452
2022-06-13,167.33,95.85,1.7457485654668756,1.7403118126911452,1.8921537788601321,0.0826299071841466,-1.8376151122933777
2022-06-14,167.55,96.1,1.743496357960458,1.7403606054208975,1.8869486728224116,0.08198045004256106,-1.7880856634162323
2022-06-15,164.26,94.89,1.731057013383918,1.740210023204288,1.882417627911657,0.08296905320131459,-1.7139836989861617
2022-06-16,155.48,91.39,1.701280227596017,1.7335101418203351,1.877355468785406,0.08461201175700675,-1.7000579938717615
2022-06-17,148.38,86.12,1.7229447282861123,1.7289053785386763,1.8728180766009608,0.08548120955766207,-1.6835594489945411
2022-06-21,154.59,91.48,1.689877568867512,1.7177311792188035,1.8677413179242544,0.08716180544259,-1.721053596167837
2022-06-22,147.87,87.86,1.6830184384247668,1.705635595311665,1.862671515685168,0.08892408310075943,-1.765954901053817
2022-06-23,142.43,85.21,1.67151742753198,1.6937276781412778,1.8570498834696392,0.0901813387709154,-1.8110421463496262
2022-06-24,144.77,86.9,1.6659378596087457,1.6866592045438231,1.8515671635262885,0.09164642860140076,-1.799393184209088
2022-06-27,147.57,89.03,1.6575311692687857,1.673576492740358,1.8462731318085632,0.0935400706952032,-1.8462316500800036
2022-06-28,149.94,91.5,1.638688524590164,1.6633386838848885,1.8407255040178503,0.09582703378200015,-1.8511145877321478
2022-06-29,146.98,88.12,1.6679527916477528,1.6603255545294857,1.8355964207730961,0.09671212281419107,-1.8122946859552547
2022-06-30,144.78,85.64,1.6905651564689397,1.6641351003168776,1.8308299862717246,0.09669483043486125,-1.723927589563761
2022-07-01,146.51,87.55,1.6734437464306111,1.6656362776812508,1.825810445021514,0.09692105149418259,-1.6526251507896326
2022-07-05,142.66,84.81,1.6821129583775498,1.6705526355030034,1.8210084424250368,0.09678170699387757,-1.554589308200064
2022-07-06,140.78,83.28,1.6904418828049952,1.6809033071459698,1.8164370299485655,0.09635510502859089,-1.4066065597913007
2022-07-07,143.52,85.94,1.6700023272050268,1.6813132142574247,1.8116567831526351,0.09638724618123423,-1.3522906199657267
2022-07-08,142.77,86.08,1.6585734200743496,1.6749148669785066,1.8063917029048182,0.09596962787953764,-1.3699838045776642
2022-07-11,141.51,85.64,1.6523820644558616,1.6707025305835566,1.801024472514908,0.09541687404777688,-1.3658165102547484
2022-07-12,138.92,84.5,1.644023668639053,1.6630846726358572,1.795465914490594,0.09467133909903615,-1.3983243832249177
2022-07-13,137.99,84.84,1.6264733616218765,1.6502909683992335,1.7900127958430645,0.09482775253512941,-1.4734275959147123
2022-07-14,135.94,83.14,1.6350733702189078,1.6433051770020097,1.7845348637769782,0.09411201825076199,-1.500655170295692
2022-07-15,137.65,84.54,1.6282233262361012,1.63723515823436,1.7790393607213875,0.0934385036234342,-1.5176206487478807
2022-07-18,139.58,86.1,1.621138211382114,1.6309863876196105,1.7733673350038586,0.09250192338631112,-1.5392214796402637
2022-07-19,144.61,88.27,1.6382689475472982,1.6298354434012594,1.769153950060935,0.09280668471721461,-1.5011688768345106
2022-07-20,146.52,89.24,1.641864634692963,1.6329136980154768,1.765007729839198,0.09284436830079681,-1.4227468422830283
2022-07-21,145.4,87.75,1.656980056980057,1.6372950353677065,1.7607150763598196,0.09176140876976574,-1.3450103114892293
2022-07-22,144.19,87.08,1.6558337161231051,1.6428171133451077,1.7566093843963915,0.09083109052774142,-1.2527898805368805
2022-07-25,148.48,89.98,1.6501444765503444,1.6486183663787535,1.7533461968757593,0.09108420492220304,-1.1497913451235164
2022-07-26,147.32,89.63,1.6436461006359477,1.6496937969964836,1.7498171334154102,0.09116548052672445,-1.098259295518947
